nohup: ignoring input
--faucet-sol argument ignored, ledger already exists
Ledger location: test-ledger
Log: test-ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: A8dbc5Q2ygioFjaqQxhoZWUZvtrexucLJFj2sHcdFHkC
Genesis Hash: DdWgBiQBSEyMwRw8bwoCYHFuYVmLSJxCfMRfefoSeSrc
Version: 1.18.20
Shred Version: 35959
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:28 | Processed Slot: 2482 | Confirmed Slot: 2482 | Finalized Slot: 2450 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2707 | ◎499.988210000
00:00:28 | Processed Slot: 2483 | Confirmed Slot: 2483 | Finalized Slot: 2451 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2708 | ◎499.988205000
00:00:28 | Processed Slot: 2484 | Confirmed Slot: 2484 | Finalized Slot: 2452 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2709 | ◎499.988200000
00:00:28 | Processed Slot: 2484 | Confirmed Slot: 2484 | Finalized Slot: 2452 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2709 | ◎499.988200000
00:00:29 | Processed Slot: 2485 | Confirmed Slot: 2485 | Finalized Slot: 2453 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2710 | ◎499.988195000
00:00:29 | Processed Slot: 2486 | Confirmed Slot: 2485 | Finalized Slot: 2454 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2711 | ◎499.988195000
00:00:29 | Processed Slot: 2486 | Confirmed Slot: 2486 | Finalized Slot: 2454 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2711 | ◎499.988190000
00:00:29 | Processed Slot: 2487 | Confirmed Slot: 2487 | Finalized Slot: 2455 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2712 | ◎499.988185000
00:00:30 | Processed Slot: 2487 | Confirmed Slot: 2487 | Finalized Slot: 2455 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2712 | ◎499.988185000
00:00:30 | Processed Slot: 2488 | Confirmed Slot: 2488 | Finalized Slot: 2456 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2713 | ◎499.988180000
00:00:30 | Processed Slot: 2489 | Confirmed Slot: 2489 | Finalized Slot: 2457 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2714 | ◎499.988175000
00:00:30 | Processed Slot: 2489 | Confirmed Slot: 2489 | Finalized Slot: 2457 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2714 | ◎499.988175000
00:00:31 | Processed Slot: 2490 | Confirmed Slot: 2490 | Finalized Slot: 2458 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2715 | ◎499.988170000
